factor_arribo,tasa_arribo,tasa_servicio,rho,capacidad_cola,modelo_cola,tiempo_simulacion,replicas,estado_teorico,metrica,media,desvio_estandar,semiancho_ic95,teoria,error_porcentual
0.75,7.5,10.0,0.75,10,M/M/1/K,10000.0,10,capacidad_finita_regimen_estacionario,tiempo_promedio_sistema,0.3526443258946538,0.005615517825720832,0.004016820370259382,0.3514926352144066,0.32765712986977846
0.75,7.5,10.0,0.75,10,M/M/1/K,10000.0,10,capacidad_finita_regimen_estacionario,tiempo_promedio_cola,0.25266891173925693,0.005449468693512373,0.003898044229319394,0.2514926352144066,0.4677180800334322
0.75,7.5,10.0,0.75,10,M/M/1/K,10000.0,10,capacidad_finita_regimen_estacionario,utilizacion_servidor,0.74100426832033,0.003808260608104225,0.002724076258083257,0.7418218582985423,-0.11021378907431939
0.75,7.5,10.0,0.75,10,M/M/1/K,10000.0,10,capacidad_finita_regimen_estacionario,probabilidad_denegacion,0.011301578229249208,0.0010791974708483888,0.0007719577283827358,0.010904188935277018,3.6443727849080463
0.75,7.5,10.0,0.75,50,M/M/1/K,10000.0,10,capacidad_finita_regimen_estacionario,promedio_clientes_sistema,3.015025942603587,0.08509883227741868,0.060871808012352556,2.999983435086273,0.501419685901737
0.75,7.5,10.0,0.75,50,M/M/1/K,10000.0,10,capacidad_finita_regimen_estacionario,promedio_clientes_cola,2.2644485414914906,0.08052087596179854,0.057597162867693945,2.2499835147252814,0.642894788852502
0.75,7.5,10.0,0.75,50,M/M/1/K,10000.0,10,capacidad_finita_regimen_estacionario,tiempo_promedio_sistema,0.40205565726726145,0.00987078535723348,0.007060643902114928,0.39999783381874415,0.5144586481560246
0.75,7.5,10.0,0.75,50,M/M/1/K,10000.0,10,capacidad_finita_regimen_estacionario,tiempo_promedio_cola,0.3019566387161974,0.009644663888884648,0.006898897586208619,0.2999978338187441,0.652939680436743
0.75,7.5,10.0,0.75,50,M/M/1/K,10000.0,10,capacidad_finita_regimen_estacionario,utilizacion_servidor,0.750577401112082,0.005019941584217568,0.0035908003925548783,0.7499999203609917,0.07699744165470922
0.75,7.5,10.0,0.75,50,M/M/1/K,10000.0,10,capacidad_finita_regimen_estacionario,probabilidad_denegacion,0.0,0.0,0.0,1.0618534440602214e-07,-100.0
1.0,10.0,10.0,1.0,infinita,M/M/1,10000.0,10,capacidad_infinita_sin_regimen_estacionario,promedio_clientes_sistema,186.33413492749574,125.63653688243227,89.86872026061423,,
1.0,10.0,10.0,1.0,infinita,M/M/1,10000.0,10,capacidad_infinita_sin_regimen_estacionario,promedio_clientes_cola,185.33931871138194,125.63409489944677,89.86697349258598,,
1.0,10.0,10.0,1.0,infinita,M/M/1,10000.0,10,capacidad_infinita_sin_regimen_estacionario,tiempo_promedio_sistema,18.626437246817385,12.475984172723397,8.924161389799552,,
1.0,10.0,10.0,1.0,infinita,M/M/1,10000.0,10,capacidad_infinita_sin_regimen_estacionario,tiempo_promedio_cola,18.52646777814443,12.475861672526129,8.924073764525621,,
1.0,10.0,10.0,1.0,infinita,M/M/1,10000.0,10,capacidad_infinita_sin_regimen_estacionario,utilizacion_servidor,0.9948162161141813,0.0029014275757328935,0.002075412054727145,,
1.0,10.0,10.0,1.0,infinita,M/M/1,10000.0,10,capacidad_infinita_sin_regimen_estacionario,probabilidad_denegacion,0.0,0.0,0.0,0.0,0.0
1.0,10.0,10.0,1.0,0,M/M/1/K,10000.0,10,capacidad_finita_regimen_estacionario,promedio_clientes_sistema,0.5009200817640284,0.001219272781910032,0.0008721546078700879,0.5,0.18401635280567152
